corridor,src_name,dst_name,src_state,dst_state,median_delay_ratio,median_actual,median_osrm,median_dist_km,n_traversals,sla_breach_rate,total_excess_min,ratio_ftl,ratio_carting,ratio_morning,ratio_afternoon,ratio_evening,ratio_night
IND000000ACB -> IND562132AAA,Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka),Haryana,Karnataka,1.852,2865.5,1548.0,2065.063,66,1.0,89334.0,1.852,,1.846,1.913,1.867,1.828
IND562132AAA -> IND000000ACB,Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana),Karnataka,Haryana,1.819,2786.0,1530.0,2089.217,44,1.0,55820.0,1.819,,1.881,1.775,1.845,1.849
IND000000ACB -> IND712311AAA,Gurgaon_Bilaspur_HB (Haryana),Kolkata_Dankuni_HB (West Bengal),Haryana,West Bengal,2.032,2063.5,1016.0,1427.93,48,1.0,55636.0,2.032,,,2.195,1.894,2.026
IND781018AAB -> IND110037AAM,Guwahati_Hub (Assam),Delhi_Airport_H (Delhi),Assam,Delhi,2.53,3347.0,1323.0,1807.937,17,1.0,34802.0,2.53,,,,2.53,
IND000000ACB -> IND501359AAE,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana),Haryana,Telangana,1.91,2229.0,1165.0,1562.702,29,1.0,33048.0,1.91,,,2.094,1.894,1.882
IND000000ACB -> IND421302AAG,Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra),Haryana,Maharashtra,1.927,1858.0,963.0,1322.402,33,1.0,31005.0,1.927,,1.996,1.921,1.944,1.83
IND421302AAG -> IND000000ACB,Bhiwandi_Mankoli_HB (Maharashtra),Gurgaon_Bilaspur_HB (Haryana),Maharashtra,Haryana,1.998,1935.5,968.0,1322.628,26,1.0,25710.0,1.998,,2.031,,1.883,1.977
IND000000ACB -> IND600056AAB,Gurgaon_Bilaspur_HB (Haryana),MAA_Poonamallee_HB (Tamil Nadu),Haryana,Tamil Nadu,1.861,2995.5,1610.0,2190.224,14,1.0,21102.0,1.861,,1.877,,,1.845
IND421302AAG -> IND110037AAM,Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi),Maharashtra,Delhi,2.081,2098.0,1007.0,1366.365,19,1.0,21082.0,2.081,,2.077,,,2.091
IND854326AAB -> IND000000ACB,Purnia_Central_H_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana),Bihar,Haryana,2.186,2032.5,930.0,1269.708,18,1.0,19929.0,2.186,,,2.139,2.233,
IND421302AAG -> IND562132AAA,Bhiwandi_Mankoli_HB (Maharashtra),Bangalore_Nelmngla_H (Karnataka),Maharashtra,Karnataka,1.858,1321.0,709.0,968.846,30,1.0,19060.0,1.858,,1.782,1.777,1.73,1.901
IND110037AAM -> IND421302AAG,Delhi_Airport_H (Delhi),Bhiwandi_Mankoli_HB (Maharashtra),Delhi,Maharashtra,1.991,1985.5,997.0,1367.775,18,1.0,18691.0,1.991,,,,2.018,1.991
IND000000ACB -> IND751002AAB,Gurgaon_Bilaspur_HB (Haryana),Bhubaneshwar_Hub (Orissa),Haryana,Orissa,2.04,2379.0,1167.0,1638.7,15,1.0,18644.0,2.04,,,,2.04,2.044
IND000000ACB -> IND160002AAC,Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),Haryana,Punjab,2.205,467.5,211.0,280.284,58,1.0,18417.0,2.205,,2.28,2.026,2.161,2.316
IND562132AAA -> IND302014AAA,Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan),Karnataka,Rajasthan,1.944,2656.0,1366.0,1854.751,14,1.0,18292.0,1.944,,,,1.944,
IND562132AAA -> IND751002AAB,Bangalore_Nelmngla_H (Karnataka),Bhubaneshwar_Hub (Orissa),Karnataka,Orissa,2.074,2169.0,1047.0,1416.699,15,1.0,17516.0,2.074,,2.106,2.091,2.062,
IND751002AAB -> IND562132AAA,Bhubaneshwar_Hub (Orissa),Bangalore_Nelmngla_H (Karnataka),Orissa,Karnataka,2.263,2396.0,1058.0,1423.141,13,1.0,17275.0,2.263,,,2.312,2.144,
IND000000ACB -> IND411033AAA,Gurgaon_Bilaspur_HB (Haryana),Pune_Tathawde_H (Maharashtra),Haryana,Maharashtra,1.77,1785.5,1010.0,1361.705,22,1.0,17087.0,1.77,,,,1.77,1.73
IND395023AAA -> IND562132AAA,Surat_HUB (Gujarat),Bangalore_Nelmngla_H (Karnataka),Gujarat,Karnataka,1.944,1679.0,863.0,1193.111,20,1.0,16235.0,1.944,,1.945,,,1.75
IND160002AAC -> IND000000ACB,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),Punjab,Haryana,1.991,421.0,211.0,280.268,66,1.0,15856.0,1.991,,1.919,2.148,2.014,2.18
IND462022AAA -> IND000000ACB,Bhopal_Trnsport_H (Madhya Pradesh),Gurgaon_Bilaspur_HB (Haryana),Madhya Pradesh,Haryana,1.913,1113.0,584.0,814.209,26,1.0,14769.0,1.913,,,,1.916,1.842
IND000000ACB -> IND842001AAA,Gurgaon_Bilaspur_HB (Haryana),Muzaffrpur_Bbganj_I (Bihar),Haryana,Bihar,2.047,1509.0,737.0,995.455,19,1.0,14710.0,2.047,,2.05,,,2.043
IND421302AAG -> IND712311AAA,Bhiwandi_Mankoli_HB (Maharashtra),Kolkata_Dankuni_HB (West Bengal),Maharashtra,West Bengal,2.116,2924.0,1383.0,1933.685,9,1.0,13921.0,2.116,,,,2.116,2.111
IND847226AAA -> IND842001AAA,Jaynagar_Wardno6_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),Bihar,Bihar,8.976,754.0,84.0,118.731,21,1.0,13868.0,8.976,,,,,8.976
