corridor,src_name,dst_name,median_dist_km,n_traversals,daily_vol,src_btw,time_ftl,time_cart,time_saved_ftl,cost_ftl,cost_cart,cost_premium_ftl,pbreach_ftl,pbreach_cart,gc_ftl,gc_cart,recommend,gc_saving_vs_alt,dist_band,vol_band
IND110024AAA -> IND110014AAA,Delhi_Lajpat_IP (Delhi),Delhi_Bhogal (Delhi),9.723,9,0.36,0.0,15.9,14.4,-1.5,2714.0,692.0,2022.0,0.925,0.895,4113.0,2045.0,Carting,2068.0,<50km,thin(<1.5/d)
IND600032AAB -> IND600044AAD,Chennai_Hub (Tamil Nadu),Chennai_Chrompet_DPC (Tamil Nadu),10.008,16,0.64,0.0,24.1,19.6,-4.5,2720.0,700.0,2020.0,0.786,0.733,3915.0,1813.0,Carting,2102.0,<50km,thin(<1.5/d)
IND751015AAA -> IND751002AAB,Bhubaneshwar_Nayapalli (Orissa),Bhubaneshwar_Hub (Orissa),10.178,4,0.16,0.0,13.9,11.8,-2.1,2724.0,705.0,2019.0,0.734,0.63,3835.0,1658.0,Carting,2177.0,<50km,thin(<1.5/d)
IND211002AAB -> IND211011AAA,Allahabad_Central_H_1 (Uttar Pradesh),Allahabad_Central_D_5 (Uttar Pradesh),10.351,12,0.48,0.008,26.4,27.6,1.2,2728.0,711.0,2017.0,0.948,0.927,4200.0,2152.0,Carting,2048.0,<50km,thin(<1.5/d)
IND636005AAA -> IND636016AAA,Salem_Kadtmpty_H (Tamil Nadu),Salem (Tamil Nadu),10.361,4,0.16,0.0,18.9,16.0,-2.8,2728.0,711.0,2017.0,0.734,0.63,3842.0,1666.0,Carting,2176.0,<50km,thin(<1.5/d)
IND201007AAA -> IND201005AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_RjndrNgr_DC (Uttar Pradesh),10.469,3,0.12,0.004,26.4,24.0,-2.4,2730.0,714.0,2016.0,0.877,0.846,4078.0,2013.0,Carting,2065.0,<50km,thin(<1.5/d)
IND201007AAA -> IND201001AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_Patel Nagar (Uttar Pradesh),10.486,4,0.16,0.004,25.4,23.1,-2.3,2731.0,715.0,2016.0,0.877,0.846,4077.0,2012.0,Carting,2065.0,<50km,thin(<1.5/d)
IND482002AAA -> IND842003AAB,Jabalpur (Madhya Pradesh),Jabalpur_Adhartal_IP (Madhya Pradesh),10.491,3,0.12,0.0,69.6,76.5,7.0,2731.0,715.0,2016.0,0.94,0.929,4188.0,2159.0,Carting,2029.0,<50km,thin(<1.5/d)
IND201001AAA -> IND201007AAA,Ghaziabad_Patel Nagar (Uttar Pradesh),GZB_Mohan_Nagar_DPC (Uttar Pradesh),10.561,5,0.2,0.0,36.2,36.6,0.4,2732.0,717.0,2016.0,0.966,0.951,4205.0,2168.0,Carting,2038.0,<50km,thin(<1.5/d)
IND600044AAD -> IND600032AAB,Chennai_Chrompet_DPC (Tamil Nadu),Chennai_Hub (Tamil Nadu),10.597,7,0.28,0.004,28.5,29.2,0.6,2733.0,718.0,2015.0,0.925,0.89,4155.0,2086.0,Carting,2069.0,<50km,thin(<1.5/d)
IND380005AAA -> IND382421AAA,Amd_Chandkheda_Dc (Gujarat),Gandhinagar_DC (Gujarat),10.675,7,0.28,0.001,29.2,27.2,-2.1,2735.0,720.0,2015.0,0.989,0.983,4241.0,2217.0,Carting,2025.0,<50km,thin(<1.5/d)
IND751014AAA -> IND751002AAB,Bhubaneswar_BjbNgr_DC (Orissa),Bhubaneshwar_Hub (Orissa),10.717,5,0.2,0.0,16.5,15.6,-0.9,2736.0,722.0,2014.0,0.889,0.824,4081.0,1968.0,Carting,2113.0,<50km,thin(<1.5/d)
IND400102AAC -> IND400052AAA,Mumbai_Jogshwri_I (Maharashtra),Mumbai_Khar West _Dc (Maharashtra),11.049,8,0.32,0.0,47.7,46.4,-1.4,2743.0,731.0,2012.0,0.99,0.983,4262.0,2238.0,Carting,2024.0,<50km,thin(<1.5/d)
IND492001AAB -> IND492007AAA,Raipur_Katora_IP (Chhattisgarh),Raipur_Central_D_5 (Chhattisgarh),11.09,8,0.32,0.0,23.6,22.4,-1.2,2744.0,733.0,2011.0,0.889,0.824,4094.0,1984.0,Carting,2110.0,<50km,thin(<1.5/d)
IND411033AAA -> IND411021AAA,Pune_Tathawde_H (Maharashtra),PNQ Pashan DPC (Maharashtra),11.17,41,1.64,0.054,66.1,61.9,-4.2,2746.0,735.0,2011.0,0.846,0.582,4264.0,1791.0,Carting,2473.0,<50km,medium(1.5-4/d)
IND201301AAF -> IND201304AAA,Noida_Sec 02_DPC (Uttar Pradesh),Noida_Sec-83_DC (Uttar Pradesh),11.359,12,0.48,0.002,35.8,32.9,-2.9,2750.0,741.0,2009.0,0.988,0.981,4263.0,2242.0,Carting,2021.0,<50km,thin(<1.5/d)
IND562114AAA -> IND560067AAC,Hoskote_DC (Karnataka),Bengaluru_Kadugodi_D (Karnataka),11.429,8,0.32,0.0,38.4,38.5,0.1,2751.0,743.0,2009.0,0.989,0.979,4262.0,2238.0,Carting,2024.0,<50km,thin(<1.5/d)
IND201304AAA -> IND201301AAF,Noida_Sec-83_DC (Uttar Pradesh),Noida_Sec 02_DPC (Uttar Pradesh),11.506,18,0.72,0.0,36.1,30.1,-6.0,2753.0,745.0,2008.0,0.982,0.978,4250.0,2232.0,Carting,2018.0,<50km,thin(<1.5/d)
