center,name,city,state,betweenness,pagerank,in_degree,out_degree,w_in_volume,w_out_volume,clustering,total_volume,out_delay_ratio,total_excess_min,breach_contrib_pct,bottleneck_score
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),Gurgaon,Haryana,0.1905,0.0193,45,49,927,1062,0.0372,1989.0,1.9157,695339.0,12.4532,0.8803
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),Bangalore,Karnataka,0.0888,0.0132,36,35,665,768,0.0536,1433.0,1.7448,352694.0,6.3166,0.6369
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),Bhiwandi,Maharashtra,0.061,0.0082,29,29,583,821,0.0616,1404.0,2.25,309708.0,5.5467,0.5471
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),Kolkata,West Bengal,0.0904,0.0087,24,22,216,262,0.0392,478.0,2.5875,206350.0,3.6956,0.568
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),Hyderabad,Telangana,0.1105,0.0112,30,27,402,328,0.0427,730.0,1.904,157279.0,2.8168,0.6238
IND411033AAA,Pune_Tathawde_H (Maharashtra),Pune,Maharashtra,0.054,0.0074,23,20,329,403,0.0616,732.0,1.9706,147791.0,2.6469,0.4961
IND110037AAM,Delhi_Airport_H (Delhi),Delhi,Delhi,0.0542,0.0054,21,24,188,256,0.0706,444.0,2.077,134692.0,2.4123,0.4618
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),Chandigarh,Punjab,0.0526,0.0101,32,29,431,370,0.0343,801.0,1.8745,112443.0,2.0138,0.52
IND751002AAB,Bhubaneshwar_Hub (Orissa),Bhubaneshwar,Orissa,0.0571,0.0031,13,6,85,79,0.1083,164.0,2.0378,89012.0,1.5942,0.408
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar),Muzaffrpur,Bihar,0.0245,0.0044,12,15,157,178,0.058,335.0,2.2149,86618.0,1.5513,0.3937
IND781018AAB,Guwahati_Hub (Assam),Guwahati,Assam,0.0435,0.0046,17,15,90,90,0.0316,180.0,2.1206,82846.0,1.4837,0.4052
IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),Bhopal,Madhya Pradesh,0.0325,0.0042,13,9,143,123,0.0719,266.0,2.2059,81513.0,1.4599,0.3965
IND131028AAB,Sonipat_Kundli_H (Haryana),Sonipat,Haryana,0.0531,0.0064,20,20,329,245,0.0387,574.0,1.8969,79805.0,1.4293,0.4696
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),Kanpur,Uttar Pradesh,0.0389,0.0059,16,13,157,220,0.0346,377.0,1.8945,72800.0,1.3038,0.428
IND382430AAB,Ahmedabad_East_H_1 (Gujarat),Ahmedabad,Gujarat,0.0393,0.0039,17,13,257,280,0.0399,537.0,1.9393,66371.0,1.1887,0.4181
IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),MAA,Tamil Nadu,0.039,0.0053,17,18,240,300,0.0593,540.0,1.9403,60067.0,1.0758,0.4315
IND395023AAA,Surat_HUB (Gujarat),Surat,Gujarat,0.0215,0.0017,8,8,81,93,0.1636,174.0,1.8989,58096.0,1.0405,0.3325
IND834002AAB,Ranchi_Hub (Jharkhand),Ranchi,Jharkhand,0.0099,0.0015,5,7,66,80,0.1556,146.0,2.4356,53035.0,0.9498,0.3147
IND302014AAA,Jaipur_Hub (Rajasthan),Jaipur,Rajasthan,0.0448,0.0029,10,8,96,96,0.0667,192.0,1.9394,47090.0,0.8434,0.3827
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru,Karnataka,0.0054,0.0055,11,18,354,466,0.1368,820.0,1.6283,40973.0,0.7338,0.3836
IND854326AAB,Purnia_Central_H_2 (Bihar),Purnia,Bihar,0.0188,0.0019,8,8,62,70,0.1538,132.0,2.1851,36545.0,0.6545,0.3215
